/home/runner/work/gpcp/gpcp/input/gpcp.xml:337:21: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:344:22: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:357:21: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:367:22: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:373:21: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:377:22: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:392:21: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:400:22: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:406:21: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:411:22: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:421:21: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:428:22: error: element "metaData" not allowed anywhere; expected the element end-tag or element "config"
/home/runner/work/gpcp/gpcp/input/gpcp.xml:435:27: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:443:64: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:446:22: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:453:65: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:456:22: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:467:59: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:470:22: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:473:186: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:476:22: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:479:186: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:482:22: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:487:94: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:490:22: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:496:86: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:499:22: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:504:81: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/gpcp/gpcp/input/gpcp.xml:507:22: error: element "package-usage-list" not allowed anywhere; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
